capture_name,Repeat,X,Y,Z,L*,a*,b*,dE00*C
solid_blue_pupil_7,13,161.60147,29.025237,927.62821,100,401.3228417,-416.9396658,41.14667025
solid_blue_pupil_8,1,170.74997,29.774536,950.40391,100,410.2536122,-416.6864039,41.17264716
solid_blue_pupil_8,2,170.28502,29.588947,947.68006,100,411.3240777,-417.3821192,41.17874786
solid_blue_pupil_8,3,170.09388,29.605274,946.90268,100,410.815475,-417.0997775,41.17605174
solid_blue_pupil_8,4,170.56271,29.775161,949.36337,100,409.9143681,-416.4569507,41.17067165
solid_blue_pupil_8,5,170.41555,29.661358,948.58457,100,410.8144871,-417.0755108,41.17594832
solid_blue_pupil_8,6,168.54751,29.425914,938.27678,100,409.8881164,-416.4676699,41.17063697
solid_blue_pupil_8,7,171.52966,29.934491,954.65162,100,410.0103171,-416.5017517,41.17114719
solid_blue_pupil_8,8,171.07586,29.829325,952.02985,100,410.2743428,-416.6598639,41.17259954
solid_blue_pupil_8,9,170.96236,29.809469,951.41161,100,410.2750124,-416.6632089,41.17261543
solid_blue_pupil_8,10,171.24995,29.882623,952.73749,100,410.0413213,-416.4456836,41.17100791
solid_blue_pupil_8,11,168.98976,29.413989,940.98352,100,410.8062895,-417.143274,41.17620417
solid_blue_pupil_8,12,170.59472,29.726039,949.69762,100,410.4722505,-416.8687053,41.17406174
solid_blue_pupil_8,13,168.77727,29.382257,939.5903,100,410.7520023,-417.060519,41.1756983
solid_blue_pupil_9,1,186.5432,32.90087,995.78186,100,406.8063373,-405.8460011,41.11642888
solid_blue_pupil_9,2,186.90881,32.98557,997.62619,100,406.6210386,-405.7004818,41.11522501
solid_blue_pupil_9,3,185.5502,32.636073,990.32496,100,407.6359935,-406.3684261,41.12125907
solid_blue_pupil_9,4,184.33602,32.534797,983.48842,100,406.5906481,-405.5969595,41.11468732
solid_blue_pupil_9,5,186.25111,32.808865,994.31252,100,407.1792072,-406.1133784,41.11874029
solid_blue_pupil_9,6,186.63682,32.873611,996.1535,100,407.2086266,-406.0887935,41.11872793
solid_blue_pupil_9,7,186.09722,32.712418,993.45695,100,407.8197204,-406.5344011,41.12254049
solid_blue_pupil_9,8,187.26785,33.037913,999.65895,100,406.7218322,-405.7913308,41.11592987
solid_blue_pupil_9,9,186.46671,32.817674,995.35983,100,407.4479078,-406.2718549,41.12025836
solid_blue_pupil_9,10,185.72505,32.647987,991.55327,100,407.8105485,-406.5452188,41.12255773
solid_blue_pupil_9,11,187.07684,32.959885,998.45891,100,407.1281532,-406.0263011,41.11820895
solid_blue_pupil_9,12,185.6281,32.635983,990.84169,100,407.7638286,-406.4744286,41.12211047
solid_blue_pupil_9,13,187.7995,33.161336,1002.0161,100,406.451706,-405.5140106,41.11389554
solid_green_pupil_1,1,166.94055,617.91886,47.315799,100,-171.2488131,117.4466163,36.60580296
solid_green_pupil_1,2,167.45366,619.18251,47.450163,100,-171.1363638,117.4247978,36.60253544
solid_green_pupil_1,3,167.28269,618.63755,47.389814,100,-171.1518205,117.4355906,36.60312201
solid_green_pupil_1,4,164.8326,609.94588,46.780797,100,-171.2181748,117.4021503,36.60423486
solid_green_pupil_1,5,167.15506,618.49183,47.302185,100,-171.2096569,117.4800326,36.60538748
solid_green_pupil_1,6,167.51475,619.65245,47.584134,100,-171.179544,117.3680562,36.60264375
solid_green_pupil_1,7,167.14007,618.31802,47.42685,100,-171.1886816,117.3998641,36.60343821
solid_green_pupil_1,8,166.84001,617.80174,47.245743,100,-171.2940543,117.4821656,36.60758777
solid_green_pupil_1,9,167.04267,618.6166,47.373238,100,-171.3054643,117.4442863,36.60721391
